sentence,class
'Informações',positiva
'Dar sugestões de melhorias para os novos colaboradores.',positiva
'mais informações para a SAL e CAL',positiva
'Análise e relatório de cursos realizados na UVV pelos colaboradores da Regional  417.',positiva
'Está ótimo',positiva
'Mais informações referente a venda de produtos',positiva
'Fazendo isso mandando sempre no que posso cada dia melhora E eu sempre dou o meu mwlhor',positiva
'Que continue assim mandando novidades.',positiva
'Vendas',positiva
'Disponibilizar uma aba com os recursos a serão estudados.',positiva
'Falar sobre o crediario',positiva
'Para os cargos de consultores de treinamento e coordenadores de treinamento também sobre resultados de nossas filiais.',positiva
'Mensagens mais acertivas',negativa
'Relembrar os colaboradores no acesso do via +',positiva
'Mandar vídeos sobre vendas produtos e garantias',positiva
'Resultado diário da minha equipe',positiva
'Destacar o desempenho de toda equipe  inclusive dos líderes.',positiva
'Mandar poucas coisas pois qnd entro tem muitas conversas não consigo acompanhar.',negativa
'Mensagens mais acertivas  tem muitos erros nas informações passadas',negativa
'Sugestões de sistema pcom',positiva
'Manda ofertas diarias',positiva
'Estou satisfeita com seu respaldo  me auxilia e muito nos procedimentos do dia-a-dia.',positiva
'Continuar dessa forma.',positiva
'Gostei muito',positiva
'Está tudo maravilhoso rumo',positiva
'Menos msg ou somente uma vez ao dia.',negativa
'Diminuir a qtd de msgs enviadas  ou envia-las somente uma vez ao dia.',negativa
'Explicar Remuneração Variável Cal',positiva
'Campanha aperte o play ranking',positiva
'Dar mais opções de falarmos pelo Evva.',positiva
'Explicar como vender serviços',positiva
'Poderia detalhar mais o extrato de banco de horas. Disponibilizar detalhadamente como podemos atingir nossos indicadores para melhorar nossa premiação',positiva
'Nada a declarar',positiva
'Está td muito claro  ajuda é c o dia a dia aprendendo cada vez mais... a cada dia uma novidade via varejo é andar junto c as mudanças e crescer....',positiva
'Enviar projeção diariamente',positiva
'Explicar melhor as premiações',positiva
'Acho que está bom',positiva
'Informações sobre as minhas lojas atuação dos meus consultores e dicas de acompanhamento',positiva
'Conteúdos não alinhados com as responsabilidades dos consultores provve',positiva
'mandar com mais frequência nosso extrato',negativa
'as informações que a evva envia tem que bater com o lookbox hoje da muita divergência',negativa
'Mandar apenas no final do dia',negativa
'Mandar mensagens somente no expediente de trabalho.',negativa
'Manda os preços do dia a dia',positiva
'Continua assim',positiva
'Ser mais clara.',negativa
'Mandar indicadores atualizados e corretos',negativa
'Ser mais ágil e precisa',negativa
'Dar sugestões de acordo com as dificuldades do colaborador.',positiva
'Nada a dizer',positiva
'Para os consultores de treinamento informacoes de indicadores das lojas de responsabilidade',positiva
'Está tudo otimo',positiva
'Mem mostrar umas formas de negociação diferenciada para poder vender mais seguro',positiva
'Um campo de pesquisa  par liclizar os conteúdos.',positiva
'Sinalizar produtos com maior ir.',positiva
'Ser mais preciso nas informações sobre meus números de meta',negativa
'Atualização das campanhas diariamente',positiva
'Quando pergunto sobre metas e resultados não aparece nada',negativa
'Mais curso de venda de produtos  cursos encinando como funciona a praticidade etc',positiva
'Enviar mais boas ideais',positiva
'To gostando de tudo na minha opinião não precisa de mudanças',positiva
'Tá tudo ótimo',positiva
'Respondendo minhas dúvidas sobre o AdP...!!',negativa
'Mensagem de auto estima',positiva
'Está ótima',positiva
'Passar o extrato atualizado dia a dia   pois semore manda o extrato referente a semana passada.',negativa
'Top',positiva
'Citar quando tiver oportunidade de promoção de cargos',positiva
'Mostrar horas positivas e negativas no banco de horas.',positiva
'Vc está indo bem',positiva
'Atualização diária ir',positiva
'Sem sugestão',positiva
'responder perguntas',negativa
'Extrato das Vendas de produtos e mercadoria',positiva
'Este aplicativo tem sido muito bom',positiva
'Monstrar em valor numéricos a quantidade atingida em vendas mercantil e de serviços para acompanhar o desempenho diário em vendas em tempo real se possível  assim como é verificado no próprio sistema da empresa  deste modo cada colaborador norteia sua estratégia para potencializar novas estratégias.',positiva
'Nada',positiva
'Estou recebendo pouco conteúdo sobre as coisas da loja',negativa
'Nada a declarar',positiva
'Extrato comissionamento',positiva
'Mandar os indicadores que faz parte dos meus pilares',positiva
'As informações  não se desencontren pois falta informação',negativa
'Continue mandando sugestões e muito bom para o meu desenvolvimento.',positiva
'Aceitar mas o meu comando',negativa
'Sobre metas de recarga',positiva
'Mais explicação sobre o cauda longa',positiva
'Mandar os resultados atualizados',negativa
'Já coloquei',positiva
'Nada',positiva
'Ta ótimo',positiva
'Atualização mais rápida dos resultados',negativa
'Esta bom',positiva
'Sugestão para venda em cdc',positiva
'Você linda Evva  vamos ser amigas?',positiva
'Acesso ao resultado do vendedor pelo aplicativo.',positiva
'Para me colocar em outro setor estou insatisfeito no móveis gostaria de ir para a linha leve portátil onde sei que posso render bem mais',positiva
'Passar a relação dos produtos com IR mais altos',positiva
'Colocar dados diários das vendas',positiva
'Para mim está ótimo',positiva
'no momento nenhuma',positiva
'Incentivar mais',positiva
'Uma forma de dar nossa opinião  para que alguém veja a visão do vendedor no chão de loja',positiva
'Atualizar a premiação diariamente',positiva
'Só continua',positiva
'Nenhuma sugestão até então.',positiva
'Não tenho nenhuma sugestão',positiva
'Que os treinamentos seja objetivo e direcionado ao setor que estamos trabalhando. Ex. eu trabalho linha Marron e tecnologia',positiva
'Nenhuma',positiva
'Espaço para o funcionário expressar suas duvidas',positiva
'Ter mais detalhes dos produtos sobre o que os serviços cobrem',positiva
'Ter mais disponibilidade de palavras na busca  mandar resultados na hora  rancking  reconhecer mais palavras.',negativa
'Ok',positiva
'Interatividade',negativa
'Mais informação sobre premios',positiva
'Não',positiva
'Ja melhorou muito desde o início',positiva
'informar os cursos e cards que deixei de fazer e sempre me informar.',positiva
'Mandar o extrato diário',positiva
'Passar valores de quanto falta para chegar de fato nas metas !',positiva
'Você já está ajudando bastante com motivação.',positiva
'Mandar as opções de ganho de acordo com o meu desempenho   me mostrando como posso ganhar mais !',positiva
'Atualização da premiação extrato mais rapido',negativa
'Que assimilasse as nossas perguntas',negativa
'Melhor opção de venda e atendimento especializado aos nossos clientes',positiva
'está muito bem',positiva
'Sou consultora de treinamento  se fosse possível  gostaria de receber informações sobre as lojas que eu cuido.',positiva
'Já está bom assim',positiva
'Informar quais líderes tem poucos acessos ao Via APP',positiva
'Enviar para nós consultores de treinamento aderência de treinamentos obrigatórios e Via App das filiais que somos cadastrados',positiva
'Da mais informações sobre outros produtos para vendas',positiva
'Enviar certo o que te pergunto',negativa
'Eva deveria mostrar o desempenho atualizado todos os dias do dia 01 ao 31.',positiva
'Nada',positiva
'Sempre lembrando',positiva
'Gostaria que o resultado do desempenho fosse diário. Assim que acabasse o horário de trabalho já mandava a mensagem dizendo  como foi o dia de trabalho.',positiva
'Dispor de números para os consultores em relação suas Filiais de atuação  Mercantil  eficiência  cdc ou famílias.',positiva
